lga_name,year,median_rent
SOUTH GIPPSLAND,1999,110.0
WELLINGTON,1999,110.0
BANYULE,1999,180.0
BRIMBANK,1999,155.0
DAREBIN,1999,160.0
HOBSONS BAY,1999,170.0
HUME,1999,170.0
MARIBYRNONG,1999,150.0
MELBOURNE,1999,270.0
MELTON,1999,155.0
MERRI-BEK,1999,165.0
MOONEE VALLEY,1999,180.0
NILLUMBIK,1999,200.0
WHITTLESEA,1999,170.0
WYNDHAM,1999,165.0
YARRA,1999,232.0
BOROONDARA,1999,220.0
KNOX,1999,180.0
MANNINGHAM,1999,220.0
MAROONDAH,1999,165.0
MONASH,1999,200.0
WHITEHORSE,1999,190.0
YARRA RANGES,1999,160.0
BAYSIDE,1999,255.0
CARDINIA,1999,155.0
CASEY,1999,165.0
FRANKSTON,1999,150.0
GLEN EIRA,1999,180.0
GREATER DANDENONG,1999,140.0
KINGSTON,1999,175.0
MORNINGTON PENINSULA,1999,150.0
PORT PHILLIP,1999,220.0
STONNINGTON,1999,210.0
COLAC-OTWAY,2000,115.0
CORANGAMITE,2000,100.0
GLENELG,2000,100.0
GREATER GEELONG,2000,140.0
MOYNE,2000,120.0
QUEENSCLIFFE,2000,180.0
SOUTHERN GRAMPIANS,2000,115.0
SURF COAST,2000,158.0
WARRNAMBOOL,2000,130.0
ARARAT,2000,100.0
BALLARAT,2000,135.0
GOLDEN PLAINS,2000,143.0
HEPBURN,2000,135.0
HINDMARSH,2000,110.0
HORSHAM,2000,115.0
MOORABOOL,2000,145.0
NORTHERN GRAMPIANS,2000,110.0
PYRENEES,2000,110.0
WEST WIMMERA,2000,90.0
YARRIAMBIACK,2000,80.0
BULOKE,2000,85.0
CAMPASPE,2000,140.0
CENTRAL GOLDFIELDS,2000,115.0
GANNAWARRA,2000,110.0
GREATER BENDIGO,2000,135.0
LODDON,2000,100.0
MACEDON RANGES,2000,145.0
MILDURA,2000,140.0
MOUNT ALEXANDER,2000,130.0
SWAN HILL,2000,130.0
ALPINE,2000,128.0
BENALLA,2000,115.0
GREATER SHEPPARTON,2000,140.0
INDIGO,2000,130.0
MANSFIELD,2000,135.0
MITCHELL,2000,135.0
MOIRA,2000,120.0
MURRINDINDI,2000,120.0
STRATHBOGIE,2000,110.0
TOWONG,2000,115.0
WANGARATTA,2000,130.0
WODONGA,2000,145.0
BASS COAST,2000,120.0
BAW BAW,2000,125.0
EAST GIPPSLAND,2000,120.0
LATROBE,2000,110.0
SOUTH GIPPSLAND,2000,115.0
WELLINGTON,2000,120.0
BANYULE,2000,185.0
BRIMBANK,2000,155.0
DAREBIN,2000,165.0
HOBSONS BAY,2000,175.0
HUME,2000,170.0
MARIBYRNONG,2000,155.0
MELBOURNE,2000,280.0
MELTON,2000,150.0
MERRI-BEK,2000,170.0
MOONEE VALLEY,2000,180.0
NILLUMBIK,2000,210.0
WHITTLESEA,2000,175.0
WYNDHAM,2000,160.0
YARRA,2000,250.0
BOROONDARA,2000,225.0
KNOX,2000,180.0
MANNINGHAM,2000,225.0
MAROONDAH,2000,165.0
MONASH,2000,200.0
WHITEHORSE,2000,195.0
YARRA RANGES,2000,160.0
BAYSIDE,2000,268.0
CARDINIA,2000,160.0
CASEY,2000,170.0
FRANKSTON,2000,150.0
GLEN EIRA,2000,185.0
GREATER DANDENONG,2000,140.0
KINGSTON,2000,170.0
MORNINGTON PENINSULA,2000,150.0
PORT PHILLIP,2000,220.0
STONNINGTON,2000,220.0
COLAC-OTWAY,2000,120.0
CORANGAMITE,2000,100.0
GLENELG,2000,110.0
GREATER GEELONG,2000,140.0
MOYNE,2000,120.0
QUEENSCLIFFE,2000,155.0
SOUTHERN GRAMPIANS,2000,105.0
SURF COAST,2000,159.0
WARRNAMBOOL,2000,143.0
ARARAT,2000,100.0
BALLARAT,2000,135.0
GOLDEN PLAINS,2000,130.0
HEPBURN,2000,135.0
HINDMARSH,2000,95.0
HORSHAM,2000,125.0
MOORABOOL,2000,140.0
NORTHERN GRAMPIANS,2000,110.0
PYRENEES,2000,113.0
WEST WIMMERA,2000,90.0
YARRIAMBIACK,2000,80.0
BULOKE,2000,73.0
CAMPASPE,2000,140.0
CENTRAL GOLDFIELDS,2000,110.0
GANNAWARRA,2000,100.0
GREATER BENDIGO,2000,140.0
LODDON,2000,88.0
MACEDON RANGES,2000,155.0
MILDURA,2000,140.0
MOUNT ALEXANDER,2000,130.0
SWAN HILL,2000,140.0
ALPINE,2000,135.0
BENALLA,2000,130.0
GREATER SHEPPARTON,2000,145.0
INDIGO,2000,130.0
MANSFIELD,2000,130.0
MITCHELL,2000,135.0
MOIRA,2000,125.0
MURRINDINDI,2000,120.0
STRATHBOGIE,2000,120.0
TOWONG,2000,96.0
WANGARATTA,2000,130.0
WODONGA,2000,150.0
BASS COAST,2000,120.0
BAW BAW,2000,130.0
EAST GIPPSLAND,2000,120.0
LATROBE,2000,110.0
SOUTH GIPPSLAND,2000,115.0
WELLINGTON,2000,115.0
BANYULE,2000,190.0
BRIMBANK,2000,160.0
DAREBIN,2000,165.0
HOBSONS BAY,2000,175.0
HUME,2000,170.0
MARIBYRNONG,2000,155.0
MELBOURNE,2000,280.0
MELTON,2000,155.0
MERRI-BEK,2000,165.0
MOONEE VALLEY,2000,180.0
NILLUMBIK,2000,215.0
WHITTLESEA,2000,170.0
WYNDHAM,2000,165.0
YARRA,2000,260.0
BOROONDARA,2000,220.0
KNOX,2000,185.0
MANNINGHAM,2000,225.0
MAROONDAH,2000,170.0
MONASH,2000,200.0
WHITEHORSE,2000,195.0
YARRA RANGES,2000,165.0
BAYSIDE,2000,270.0
CARDINIA,2000,160.0
CASEY,2000,170.0
FRANKSTON,2000,155.0
GLEN EIRA,2000,188.0
GREATER DANDENONG,2000,140.0
KINGSTON,2000,170.0
MORNINGTON PENINSULA,2000,150.0
PORT PHILLIP,2000,220.0
STONNINGTON,2000,230.0
COLAC-OTWAY,2000,120.0
CORANGAMITE,2000,100.0
GLENELG,2000,108.0
GREATER GEELONG,2000,145.0
MOYNE,2000,140.0
QUEENSCLIFFE,2000,170.0
SOUTHERN GRAMPIANS,2000,100.0
SURF COAST,2000,168.0
WARRNAMBOOL,2000,135.0
ARARAT,2000,98.0
BALLARAT,2000,140.0
GOLDEN PLAINS,2000,135.0
HEPBURN,2000,140.0
HINDMARSH,2000,100.0
HORSHAM,2000,125.0
MOORABOOL,2000,145.0
NORTHERN GRAMPIANS,2000,100.0
PYRENEES,2000,115.0
WEST WIMMERA,2000,95.0
YARRIAMBIACK,2000,75.0
BULOKE,2000,100.0
CAMPASPE,2000,135.0
CENTRAL GOLDFIELDS,2000,110.0
GANNAWARRA,2000,110.0
GREATER BENDIGO,2000,140.0
LODDON,2000,98.0
MACEDON RANGES,2000,158.0
MILDURA,2000,145.0
MOUNT ALEXANDER,2000,130.0
SWAN HILL,2000,135.0
ALPINE,2000,128.0
BENALLA,2000,130.0
GREATER SHEPPARTON,2000,145.0
INDIGO,2000,130.0
MANSFIELD,2000,143.0
MITCHELL,2000,135.0
MOIRA,2000,125.0
MURRINDINDI,2000,120.0
STRATHBOGIE,2000,105.0
TOWONG,2000,125.0
WANGARATTA,2000,125.0
WODONGA,2000,150.0
BASS COAST,2000,120.0
BAW BAW,2000,130.0
EAST GIPPSLAND,2000,125.0
LATROBE,2000,110.0
SOUTH GIPPSLAND,2000,113.0
WELLINGTON,2000,115.0
BANYULE,2000,190.0
BRIMBANK,2000,165.0
DAREBIN,2000,170.0
HOBSONS BAY,2000,180.0
HUME,2000,175.0
MARIBYRNONG,2000,160.0
MELBOURNE,2000,280.0
MELTON,2000,160.0
MERRI-BEK,2000,170.0
MOONEE VALLEY,2000,180.0
NILLUMBIK,2000,220.0
WHITTLESEA,2000,175.0
WYNDHAM,2000,165.0
YARRA,2000,250.0
BOROONDARA,2000,225.0
KNOX,2000,185.0
MANNINGHAM,2000,225.0
MAROONDAH,2000,175.0
MONASH,2000,200.0
WHITEHORSE,2000,200.0
YARRA RANGES,2000,165.0
BAYSIDE,2000,275.0
CARDINIA,2000,160.0
CASEY,2000,170.0
FRANKSTON,2000,155.0
GLEN EIRA,2000,190.0
GREATER DANDENONG,2000,140.0
KINGSTON,2000,180.0
MORNINGTON PENINSULA,2000,150.0
PORT PHILLIP,2000,220.0
STONNINGTON,2000,230.0
COLAC-OTWAY,2000,120.0
CORANGAMITE,2000,100.0
GLENELG,2000,105.0
GREATER GEELONG,2000,145.0
MOYNE,2000,125.0
QUEENSCLIFFE,2000,155.0
SOUTHERN GRAMPIANS,2000,100.0
SURF COAST,2000,165.0
WARRNAMBOOL,2000,140.0
ARARAT,2000,100.0
BALLARAT,2000,140.0
GOLDEN PLAINS,2000,138.0
HEPBURN,2000,135.0
HINDMARSH,2000,100.0
HORSHAM,2000,125.0
MOORABOOL,2000,145.0
NORTHERN GRAMPIANS,2000,115.0
PYRENEES,2000,130.0
WEST WIMMERA,2000,90.0
YARRIAMBIACK,2000,80.0
BULOKE,2000,100.0
CAMPASPE,2000,135.0
CENTRAL GOLDFIELDS,2000,115.0
GANNAWARRA,2000,110.0
GREATER BENDIGO,2000,140.0
LODDON,2000,95.0
MACEDON RANGES,2000,160.0
MILDURA,2000,145.0
MOUNT ALEXANDER,2000,130.0
SWAN HILL,2000,140.0
ALPINE,2000,130.0
BENALLA,2000,130.0
GREATER SHEPPARTON,2000,140.0
INDIGO,2000,130.0
MANSFIELD,2000,140.0
MITCHELL,2000,135.0
MOIRA,2000,130.0
MURRINDINDI,2000,125.0
STRATHBOGIE,2000,105.0
TOWONG,2000,91.0
WANGARATTA,2000,130.0
WODONGA,2000,150.0
BASS COAST,2000,120.0
BAW BAW,2000,130.0
EAST GIPPSLAND,2000,125.0
LATROBE,2000,110.0
SOUTH GIPPSLAND,2000,110.0
WELLINGTON,2000,120.0
BANYULE,2000,190.0
BRIMBANK,2000,165.0
DAREBIN,2000,170.0
HOBSONS BAY,2000,180.0
HUME,2000,175.0
MARIBYRNONG,2000,160.0
MELBOURNE,2000,280.0
MELTON,2000,160.0
MERRI-BEK,2000,170.0
MOONEE VALLEY,2000,190.0
NILLUMBIK,2000,216.0
WHITTLESEA,2000,180.0
WYNDHAM,2000,170.0
YARRA,2000,260.0
BOROONDARA,2000,230.0
KNOX,2000,185.0
MANNINGHAM,2000,230.0
MAROONDAH,2000,175.0
MONASH,2000,200.0
WHITEHORSE,2000,195.0
YARRA RANGES,2000,165.0
BAYSIDE,2000,280.0
CARDINIA,2000,165.0
CASEY,2000,174.0
FRANKSTON,2000,160.0
GLEN EIRA,2000,190.0
GREATER DANDENONG,2000,145.0
KINGSTON,2000,180.0
MORNINGTON PENINSULA,2000,160.0
PORT PHILLIP,2000,235.0
STONNINGTON,2000,230.0
COLAC-OTWAY,2001,120.0
CORANGAMITE,2001,100.0
GLENELG,2001,105.0
GREATER GEELONG,2001,147.0
MOYNE,2001,130.0
QUEENSCLIFFE,2001,170.0
SOUTHERN GRAMPIANS,2001,105.0
SURF COAST,2001,170.0
WARRNAMBOOL,2001,140.0
ARARAT,2001,110.0
BALLARAT,2001,140.0
GOLDEN PLAINS,2001,135.0
HEPBURN,2001,140.0
HINDMARSH,2001,100.0
HORSHAM,2001,125.0
MOORABOOL,2001,145.0
NORTHERN GRAMPIANS,2001,117.0
PYRENEES,2001,125.0
WEST WIMMERA,2001,80.0
YARRIAMBIACK,2001,83.0
BULOKE,2001,90.0
CAMPASPE,2001,140.0
CENTRAL GOLDFIELDS,2001,115.0
GANNAWARRA,2001,100.0
GREATER BENDIGO,2001,140.0
LODDON,2001,92.0
MACEDON RANGES,2001,150.0
MILDURA,2001,150.0
MOUNT ALEXANDER,2001,140.0
SWAN HILL,2001,140.0
ALPINE,2001,125.0
BENALLA,2001,128.0
GREATER SHEPPARTON,2001,145.0
INDIGO,2001,130.0
MANSFIELD,2001,140.0
MITCHELL,2001,135.0
MOIRA,2001,125.0
MURRINDINDI,2001,120.0
STRATHBOGIE,2001,100.0
TOWONG,2001,110.0
WANGARATTA,2001,130.0
WODONGA,2001,145.0
BASS COAST,2001,130.0
BAW BAW,2001,130.0
EAST GIPPSLAND,2001,125.0
LATROBE,2001,110.0
SOUTH GIPPSLAND,2001,115.0
WELLINGTON,2001,120.0
BANYULE,2001,200.0
BRIMBANK,2001,160.0
DAREBIN,2001,170.0
HOBSONS BAY,2001,180.0
HUME,2001,175.0
MARIBYRNONG,2001,160.0
MELBOURNE,2001,290.0
MELTON,2001,160.0
MERRI-BEK,2001,180.0
MOONEE VALLEY,2001,190.0
NILLUMBIK,2001,220.0
WHITTLESEA,2001,180.0
WYNDHAM,2001,170.0
YARRA,2001,260.0
BOROONDARA,2001,240.0
KNOX,2001,190.0
MANNINGHAM,2001,235.0
MAROONDAH,2001,180.0
MONASH,2001,210.0
WHITEHORSE,2001,200.0
YARRA RANGES,2001,170.0
BAYSIDE,2001,290.0
CARDINIA,2001,165.0
CASEY,2001,175.0
FRANKSTON,2001,160.0
GLEN EIRA,2001,200.0
GREATER DANDENONG,2001,145.0
KINGSTON,2001,180.0
MORNINGTON PENINSULA,2001,160.0
PORT PHILLIP,2001,240.0
STONNINGTON,2001,230.0
COLAC-OTWAY,2001,130.0
CORANGAMITE,2001,110.0
GLENELG,2001,110.0
GREATER GEELONG,2001,150.0
MOYNE,2001,130.0
QUEENSCLIFFE,2001,180.0
SOUTHERN GRAMPIANS,2001,100.0
SURF COAST,2001,180.0
WARRNAMBOOL,2001,145.0
ARARAT,2001,108.0
BALLARAT,2001,140.0
GOLDEN PLAINS,2001,140.0
HEPBURN,2001,145.0
HINDMARSH,2001,98.0
HORSHAM,2001,130.0
MOORABOOL,2001,145.0
NORTHERN GRAMPIANS,2001,115.0
PYRENEES,2001,105.0
YARRIAMBIACK,2001,73.0
BULOKE,2001,95.0
CAMPASPE,2001,140.0
CENTRAL GOLDFIELDS,2001,110.0
GANNAWARRA,2001,110.0
GREATER BENDIGO,2001,149.0
LODDON,2001,90.0
MACEDON RANGES,2001,160.0
MILDURA,2001,145.0
MOUNT ALEXANDER,2001,135.0
SWAN HILL,2001,135.0
ALPINE,2001,130.0
BENALLA,2001,130.0
GREATER SHEPPARTON,2001,150.0
INDIGO,2001,139.0
MANSFIELD,2001,135.0
MITCHELL,2001,140.0
MOIRA,2001,130.0
MURRINDINDI,2001,130.0
STRATHBOGIE,2001,105.0
TOWONG,2001,110.0
WANGARATTA,2001,135.0
WODONGA,2001,150.0
BASS COAST,2001,125.0
BAW BAW,2001,130.0
EAST GIPPSLAND,2001,125.0
LATROBE,2001,110.0
SOUTH GIPPSLAND,2001,115.0
WELLINGTON,2001,110.0
BANYULE,2001,200.0
BRIMBANK,2001,165.0
DAREBIN,2001,170.0
HOBSONS BAY,2001,180.0
HUME,2001,180.0
MARIBYRNONG,2001,160.0
MELBOURNE,2001,300.0
MELTON,2001,165.0
MERRI-BEK,2001,180.0
MOONEE VALLEY,2001,195.0
NILLUMBIK,2001,220.0
WHITTLESEA,2001,180.0
WYNDHAM,2001,170.0
YARRA,2001,260.0
BOROONDARA,2001,240.0
KNOX,2001,190.0
MANNINGHAM,2001,230.0
MAROONDAH,2001,180.0
MONASH,2001,210.0
WHITEHORSE,2001,210.0
YARRA RANGES,2001,170.0
BAYSIDE,2001,275.0
CARDINIA,2001,165.0
CASEY,2001,175.0
FRANKSTON,2001,160.0
GLEN EIRA,2001,200.0
GREATER DANDENONG,2001,145.0
KINGSTON,2001,180.0
MORNINGTON PENINSULA,2001,160.0
PORT PHILLIP,2001,245.0
STONNINGTON,2001,240.0
COLAC-OTWAY,2001,130.0
CORANGAMITE,2001,110.0
GLENELG,2001,120.0
GREATER GEELONG,2001,150.0
MOYNE,2001,135.0
QUEENSCLIFFE,2001,170.0
SOUTHERN GRAMPIANS,2001,115.0
SURF COAST,2001,175.0
WARRNAMBOOL,2001,145.0
ARARAT,2001,110.0
BALLARAT,2001,150.0
GOLDEN PLAINS,2001,145.0
HEPBURN,2001,150.0
HINDMARSH,2001,95.0
HORSHAM,2001,125.0
MOORABOOL,2001,150.0
NORTHERN GRAMPIANS,2001,115.0
PYRENEES,2001,105.0
WEST WIMMERA,2001,88.0
YARRIAMBIACK,2001,90.0
BULOKE,2001,78.0
CAMPASPE,2001,140.0
CENTRAL GOLDFIELDS,2001,115.0
GANNAWARRA,2001,120.0
GREATER BENDIGO,2001,150.0
LODDON,2001,93.0
MACEDON RANGES,2001,165.0
MILDURA,2001,145.0
MOUNT ALEXANDER,2001,140.0
SWAN HILL,2001,130.0
ALPINE,2001,135.0
BENALLA,2001,130.0
GREATER SHEPPARTON,2001,150.0
INDIGO,2001,130.0
MANSFIELD,2001,135.0
MITCHELL,2001,140.0
MOIRA,2001,125.0
MURRINDINDI,2001,130.0
STRATHBOGIE,2001,110.0
TOWONG,2001,116.0
WANGARATTA,2001,130.0
WODONGA,2001,150.0
BASS COAST,2001,130.0
BAW BAW,2001,138.0
EAST GIPPSLAND,2001,130.0
LATROBE,2001,110.0
SOUTH GIPPSLAND,2001,115.0
WELLINGTON,2001,120.0
BANYULE,2001,200.0
BRIMBANK,2001,165.0
DAREBIN,2001,180.0
HOBSONS BAY,2001,180.0
HUME,2001,180.0
MARIBYRNONG,2001,170.0
MELBOURNE,2001,295.0
MELTON,2001,170.0
MERRI-BEK,2001,180.0
MOONEE VALLEY,2001,200.0
NILLUMBIK,2001,216.0
WHITTLESEA,2001,180.0
WYNDHAM,2001,170.0
YARRA,2001,260.0
BOROONDARA,2001,240.0
KNOX,2001,195.0
MANNINGHAM,2001,240.0
MAROONDAH,2001,180.0
MONASH,2001,210.0
WHITEHORSE,2001,205.0
YARRA RANGES,2001,170.0
BAYSIDE,2001,290.0
CARDINIA,2001,165.0
CASEY,2001,180.0
FRANKSTON,2001,165.0
GLEN EIRA,2001,200.0
GREATER DANDENONG,2001,145.0
KINGSTON,2001,185.0
MORNINGTON PENINSULA,2001,165.0
PORT PHILLIP,2001,240.0
STONNINGTON,2001,240.0
COLAC-OTWAY,2001,130.0
CORANGAMITE,2001,110.0
GLENELG,2001,120.0
GREATER GEELONG,2001,155.0
MOYNE,2001,140.0
QUEENSCLIFFE,2001,166.0
SOUTHERN GRAMPIANS,2001,110.0
SURF COAST,2001,170.0
WARRNAMBOOL,2001,145.0
ARARAT,2001,110.0
BALLARAT,2001,150.0
GOLDEN PLAINS,2001,140.0
HEPBURN,2001,145.0
HINDMARSH,2001,110.0
HORSHAM,2001,125.0
MOORABOOL,2001,165.0
NORTHERN GRAMPIANS,2001,115.0
PYRENEES,2001,105.0
WEST WIMMERA,2001,95.0
YARRIAMBIACK,2001,78.0
BULOKE,2001,85.0
CAMPASPE,2001,140.0
CENTRAL GOLDFIELDS,2001,120.0
GANNAWARRA,2001,110.0
GREATER BENDIGO,2001,150.0
LODDON,2001,100.0
MACEDON RANGES,2001,163.0
MILDURA,2001,150.0
MOUNT ALEXANDER,2001,140.0
SWAN HILL,2001,140.0
ALPINE,2001,130.0
BENALLA,2001,135.0
GREATER SHEPPARTON,2001,155.0
INDIGO,2001,138.0
MANSFIELD,2001,140.0
MITCHELL,2001,145.0
MOIRA,2001,130.0
MURRINDINDI,2001,130.0
STRATHBOGIE,2001,120.0
TOWONG,2001,100.0
WANGARATTA,2001,140.0
WODONGA,2001,155.0
BASS COAST,2001,130.0
BAW BAW,2001,145.0
EAST GIPPSLAND,2001,130.0
LATROBE,2001,110.0
SOUTH GIPPSLAND,2001,120.0
WELLINGTON,2001,120.0
BANYULE,2001,200.0
BRIMBANK,2001,170.0
DAREBIN,2001,180.0
HOBSONS BAY,2001,190.0
HUME,2001,185.0
MARIBYRNONG,2001,175.0
MELBOURNE,2001,290.0
MELTON,2001,170.0
MERRI-BEK,2001,190.0
MOONEE VALLEY,2001,200.0
NILLUMBIK,2001,230.0
WHITTLESEA,2001,185.0
WYNDHAM,2001,175.0
YARRA,2001,270.0
BOROONDARA,2001,240.0
KNOX,2001,195.0
MANNINGHAM,2001,250.0
MAROONDAH,2001,185.0
MONASH,2001,220.0
WHITEHORSE,2001,215.0
YARRA RANGES,2001,175.0
BAYSIDE,2001,288.0
CARDINIA,2001,165.0
CASEY,2001,180.0
FRANKSTON,2001,165.0
GLEN EIRA,2001,205.0
GREATER DANDENONG,2001,150.0
KINGSTON,2001,190.0
MORNINGTON PENINSULA,2001,170.0
PORT PHILLIP,2001,250.0
STONNINGTON,2001,240.0
COLAC-OTWAY,2002,140.0
CORANGAMITE,2002,110.0
GLENELG,2002,120.0
GREATER GEELONG,2002,160.0
MOYNE,2002,150.0
QUEENSCLIFFE,2002,170.0
SOUTHERN GRAMPIANS,2002,110.0
SURF COAST,2002,180.0
WARRNAMBOOL,2002,150.0
ARARAT,2002,110.0
BALLARAT,2002,150.0
GOLDEN PLAINS,2002,155.0
HEPBURN,2002,150.0
HINDMARSH,2002,100.0
HORSHAM,2002,130.0
MOORABOOL,2002,153.0
NORTHERN GRAMPIANS,2002,110.0
PYRENEES,2002,125.0
WEST WIMMERA,2002,75.0
YARRIAMBIACK,2002,98.0
BULOKE,2002,90.0
CAMPASPE,2002,150.0
CENTRAL GOLDFIELDS,2002,120.0
GANNAWARRA,2002,110.0
GREATER BENDIGO,2002,150.0
LODDON,2002,100.0
MACEDON RANGES,2002,170.0
MILDURA,2002,150.0
MOUNT ALEXANDER,2002,145.0
SWAN HILL,2002,140.0
ALPINE,2002,130.0
BENALLA,2002,140.0
